"车型","配置","价格","车架号","颜色","状态"
"科鲁泽","科鲁泽 RS 330T自动 痛快版 20",119900,"LSGKB5415LV077249","闪电白","VDC->VSC(14天)"
"科鲁泽","科鲁泽 RS 330T自动 痛快版 20",119900,"LSGKB5418LV077830","闪电白","VDC->VSC(13天)"
"科鲁泽","科鲁泽 RS 330T自动 痛快版 20",119900,"LSGKB5410LV078096","风尚红","VDC->VSC(14天)"
"科鲁泽","科鲁泽 RS 330T自动 痛快版 20",119900,"LSGKB5417LV081089","陨铁灰","VDC->VSC(14天)"
"科鲁泽","科鲁泽 RS 330T自动 痛快版 20",119900,"LSGKB5410LV080656","陨铁灰","VDC->VSC(15天)"
"科鲁泽","科鲁泽 RS 330T自动 痛快版 20",119900,"LSGKB5417LV076961","陨铁灰","VSC(13天)"
"科鲁泽","科鲁泽 RS 330T自动 痛快版 20",119900,"LSGKB5412LV085728","星夜蓝","VDC->VSC(14天)"
"科沃兹","新科沃兹 Redline 325T自动欣尚版(BT)(GB6) 20",96900,"LSGEN54A6LD137940","闪电白","VDC(29天)"
"科沃兹","新科沃兹 Redline 325T自动欣尚版(BT)(GB6) 20",96900,"LSGEN54A7LD139308","闪电白","VDC(29天)"
"科沃兹","新科沃兹 Redline 325T自动欣尚版(BT)(GB6) 20",96900,"LSGEN54A4LD139542","闪电白","VDC(29天)"
"科沃兹","新科沃兹 Redline 325T自动欣尚版(BT)(GB6) 20",96900,"LSGEN54A9LD129878","风尚红","VDC(40天)"
"科沃兹","新科沃兹 Redline 325T自动欣尚版(BT)(GB6) 20",96900,"LSGEN54A3LD135210","陨铁灰","VDC(31天)"
"科沃兹","新科沃兹 Redline 325T自动欣尚版(BT)(GB6) 20",96900,"LSGEN54A2LD135022","陨铁灰","VDC(31天)"
"科沃兹","新科沃兹 Redline 325T自动欣尚版(BT)(GB6) 20",96900,"LSGEN54A1LD134301","陨铁灰","VDC(31天)"
"科沃兹","新科沃兹 325T自动欣悦版(BT)(GB6) 20",89900,"LSGEN54A8LD142329","闪电白","VDC(25天)"
"科沃兹","新科沃兹 325T自动欣悦版(BT)(GB6) 20",89900,"LSGEN54A7LD143309","闪电白","VDC(25天)"
"科沃兹","新科沃兹 325T自动欣悦版(BT)(GB6) 20",89900,"LSGEN54A5LD145656","陨铁灰","VDC(20天)"
"科沃兹","新科沃兹 325T自动欣悦版(BT)(GB6) 20",89900,"LSGEN54A0LD145922","陨铁灰","VDC(20天)"
"科沃兹","新科沃兹 325T自动欣悦版(BT)(GB6) 20",89900,"LSGEN54A2LD145811","陨铁灰","VDC(20天)"
"科沃兹","新科沃兹 325T自动欣悦版(BT)(GB6) 20",89900,"LSGEN54A1LD145539","陨铁灰","VDC(19天)"
"科沃兹","新科沃兹 Redline 325T自动欣耀版(maple sugar)(GB6) 20",99900,"LSGEN54A9LD131288","闪电白","VDC(38天)"
"科沃兹","新科沃兹 Redline 325T自动欣耀版(maple sugar)(GB6) 20",99900,"LSGEN54A1LD131415","闪电白","VDC(38天)"
"科沃兹","新科沃兹 Redline 325T自动欣耀版(maple sugar)(GB6) 20",99900,"LSGEN54A3LD131450","闪电白","VDC(38天)"
"创界","创界 435T Redline CVT锋锐版(Info3.5) 20",149900,"LSGTN8490LY018854","闪电白","VDC(102天)"
"迈锐宝XL","全新迈锐宝XL 535T 锐联版(B-SRF) 19",174900,"LSGZG5398KS122255","闪电白","VDC->VSC(3天)"
"迈锐宝XL","全新迈锐宝XL 550T 锐联版(B-SRF)(redline) 19",204900,"LSGZG53L9KS124804","闪电白","VSC(17天)"
"迈锐宝XL","全新迈锐宝XL 550T 锐联版(B-SRF)(redline) 19",204900,"LSGZG53L4KS121034","黯影灰","VSC(13天)"
"迈锐宝XL","全新迈锐宝XL 550T 锐智版(B-SRF)(redline) 19",219900,"LSGZG53LXKS113150","墨玉黑","VDC->VSC(3天)"
"迈锐宝XL","全新迈锐宝XL 550T 锐智版(B-SRF)(redline) 19",219900,"LSGZG53L4KS108364","闪电白","VDC(101天)"
